slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
achiupr01,Precious Achiuwa,POWER FORWARD,21,MIAMI HEAT,61,4,737,124,228,0,1,56,110,73,135,29,20,28,43,91,304
adamsja01,Jaylen Adams,POINT GUARD,24,MILWAUKEE BUCKS,7,0,18,1,8,0,2,0,0,0,3,2,0,0,0,1,2
adamsst01,Steven Adams,CENTER,27,NEW ORLEANS PELICANS,58,58,1605,189,308,0,3,60,135,213,301,111,54,38,78,113,438
adebaba01,Bam Adebayo,CENTER,23,MIAMI HEAT,64,64,2143,456,800,2,8,283,354,142,431,346,75,66,169,145,1197
aldrila01,LaMarcus Aldridge,CENTER,35,SAN ANTONIO SPURS,21,18,544,115,248,27,75,31,37,17,77,36,8,18,20,36,288
aldrila01,LaMarcus Aldridge,CENTER,35,BROOKLYN NETS,5,5,130,25,48,4,5,10,10,2,22,13,3,11,7,11,64
alexaty01,Ty-Shon Alexander,SHOOTING GUARD,22,PHOENIX SUNS,15,0,47,3,12,2,9,1,2,2,8,6,0,1,3,2,9
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,22,NEW ORLEANS PELICANS,46,13,1007,192,458,76,219,48,66,13,131,102,47,22,69,88,508
allengr01,Grayson Allen,SHOOTING GUARD,25,MEMPHIS GRIZZLIES,50,38,1259,173,414,107,274,79,91,19,141,108,46,8,48,71,532
allenja01,Jarrett Allen,CENTER,22,BROOKLYN NETS,12,5,320,44,65,0,0,46,61,38,87,20,7,19,22,21,134
allenja01,Jarrett Allen,CENTER,22,CLEVELAND CAVALIERS,51,40,1544,254,417,6,19,158,229,158,348,86,25,71,78,75,672
aminual01,Al-Farouq Aminu,POWER FORWARD,30,ORLANDO MAGIC,17,14,367,36,89,7,31,14,17,20,71,29,17,9,25,22,93
aminual01,Al-Farouq Aminu,POWER FORWARD,30,CHICAGO BULLS,6,0,67,2,10,1,6,4,5,2,17,2,2,0,3,7,9
anderky01,Kyle Anderson,POWER FORWARD,27,MEMPHIS GRIZZLIES,69,69,1887,308,658,94,261,144,184,52,344,250,84,57,86,120,854
antetgi01,Giannis Antetokounmpo,POWER FORWARD,26,MILWAUKEE BUCKS,61,61,2013,626,1100,67,221,398,581,97,574,357,72,73,207,168,1717
antetko01,Kostas Antetokounmpo,POWER FORWARD,23,LOS ANGELES LAKERS,15,0,56,3,10,0,0,6,13,4,15,1,2,4,11,8,12
antetth01,Thanasis Antetokounmpo,SMALL FORWARD,28,MILWAUKEE BUCKS,57,3,551,67,137,7,29,25,49,54,70,46,22,10,43,74,166
anthoca01,Carmelo Anthony,POWER FORWARD,36,PORTLAND TRAIL BLAZERS,69,3,1690,327,777,133,325,137,154,32,182,104,46,38,61,144,924
anthoco01,Cole Anthony,POINT GUARD,20,ORLANDO MAGIC,47,34,1273,219,552,58,172,109,131,38,183,192,30,18,106,98,605
anunoog01,OG Anunoby,SMALL FORWARD,23,TORONTO RAPTORS,43,43,1433,249,519,104,261,80,102,54,183,94,66,32,75,114,682
arcidry01,Ryan Arcidiacono,POINT GUARD,26,CHICAGO BULLS,44,0,450,49,117,25,67,13,20,5,62,56,9,0,10,47,136
arizatr01,Trevor Ariza,SMALL FORWARD,35,MIAMI HEAT,30,27,841,99,241,50,143,34,44,27,117,55,31,18,21,55,282
augusdj01,D.J. Augustin,POINT GUARD,33,MILWAUKEE BUCKS,37,6,713,71,192,49,129,36,40,11,39,110,20,1,34,33,227
augusdj01,D.J. Augustin,POINT GUARD,33,HOUSTON ROCKETS,20,6,416,64,151,34,88,49,54,9,35,78,8,0,31,23,211
avdijde01,Deni Avdija,SMALL FORWARD,20,WASHINGTON WIZARDS,54,32,1257,130,312,53,168,29,45,22,240,63,32,15,33,140,342
aytonde01,Deandre Ayton,CENTER,22,PHOENIX SUNS,69,69,2115,430,687,4,20,133,173,228,499,99,41,81,103,196,997
azubuud01,Udoka Azubuike,CENTER,21,UTAH JAZZ,15,0,57,4,9,0,0,8,10,4,9,0,1,4,3,9,16
bacondw01,Dwayne Bacon,SHOOTING GUARD,25,ORLANDO MAGIC,72,50,1853,292,726,59,207,145,176,31,193,93,45,5,46,103,788
baglema01,Marvin Bagley III,POWER FORWARD,21,SACRAMENTO KINGS,43,42,1112,247,490,37,108,77,134,106,212,43,21,21,59,100,608
ballla01,LaMelo Ball,POINT GUARD,19,CHARLOTTE HORNETS,51,31,1469,293,672,92,261,125,165,63,239,313,81,18,145,136,803
balllo01,Lonzo Ball,POINT GUARD,23,NEW ORLEANS PELICANS,55,55,1747,290,700,172,455,50,64,33,230,316,82,31,123,103,802
bambamo01,Mo Bamba,CENTER,22,ORLANDO MAGIC,46,5,725,142,301,38,118,45,66,76,189,35,14,58,36,87,367
banede01,Desmond Bane,SHOOTING GUARD,22,MEMPHIS GRIZZLIES,68,17,1519,234,499,117,271,40,49,31,179,118,41,16,59,125,625
barneha02,Harrison Barnes,POWER FORWARD,28,SACRAMENTO KINGS,58,58,2102,319,642,100,256,195,235,64,321,201,43,11,93,75,933
barrerj01,RJ Barrett,SHOOTING GUARD,20,NEW YORK KNICKS,72,72,2511,467,1060,124,309,206,276,68,346,217,53,20,139,188,1264
bartowi01,Will Barton,SMALL FORWARD,30,DENVER NUGGETS,56,52,1736,259,608,98,257,95,121,39,187,181,50,23,96,95,711
bateske01,Keita Bates-Diop,SMALL FORWARD,25,SAN ANTONIO SPURS,30,0,245,30,67,5,17,14,21,9,40,12,11,5,7,11,79
batumni01,Nicolas Batum,SMALL FORWARD,32,LOS ANGELES CLIPPERS,67,38,1835,191,412,110,272,48,58,50,266,148,69,37,53,102,540
baynear01,Aron Baynes,CENTER,34,TORONTO RAPTORS,53,31,980,134,304,27,103,29,41,87,186,47,17,23,46,119,324
bazemke01,Kent Bazemore,SMALL FORWARD,31,GOLDEN STATE WARRIORS,67,18,1333,176,392,75,184,54,78,26,203,108,69,33,82,158,481
bazleda01,Darius Bazley,POWER FORWARD,20,OKLAHOMA CITY THUNDER,55,55,1714,273,690,83,286,125,178,51,345,99,29,25,122,60,754
bealbr01,Bradley Beal,SHOOTING GUARD,27,WASHINGTON WIZARDS,60,60,2147,670,1382,130,373,408,459,72,211,265,69,22,187,140,1878
beaslma01,Malik Beasley,SHOOTING GUARD,24,MINNESOTA TIMBERWOLVES,37,36,1214,264,600,128,321,68,80,28,134,88,30,7,60,62,724
belljo01,Jordan Bell,CENTER,26,WASHINGTON WIZARDS,5,1,67,7,20,0,2,0,0,6,13,5,3,3,3,5,14
belljo01,Jordan Bell,CENTER,26,GOLDEN STATE WARRIORS,1,0,15,0,2,0,0,1,2,1,4,2,0,2,1,2,1
bembrde01,DeAndre' Bembry,SMALL FORWARD,26,TORONTO RAPTORS,51,12,972,117,228,14,53,45,66,33,113,107,53,18,71,87,293
bertada01,Dāvis Bertāns,POWER FORWARD,28,WASHINGTON WIZARDS,57,7,1464,193,478,169,428,100,115,18,150,49,33,13,33,136,655
beverpa01,Patrick Beverley,POINT GUARD,32,LOS ANGELES CLIPPERS,37,34,832,93,220,56,141,36,45,29,90,76,29,28,34,108,278
beysa01,Saddiq Bey,SMALL FORWARD,21,DETROIT PISTONS,70,53,1909,279,691,175,460,124,147,43,275,95,52,14,60,110,857
beyty01,Tyler Bey,SMALL FORWARD,22,DALLAS MAVERICKS,18,0,71,7,22,1,4,3,5,8,11,3,0,1,3,6,18
birchkh01,Khem Birch,CENTER,28,ORLANDO MAGIC,48,5,952,94,209,4,21,63,85,117,126,53,32,28,23,67,255
birchkh01,Khem Birch,CENTER,28,TORONTO RAPTORS,19,17,577,95,171,9,31,28,44,57,87,36,16,22,21,46,227
bitadgo01,Goga Bitadze,CENTER,21,INDIANA PACERS,45,3,561,83,194,20,79,45,61,60,90,37,9,60,17,94,231
biyombi01,Bismack Biyombo,CENTER,28,CHARLOTTE HORNETS,66,36,1349,142,242,0,1,47,105,137,210,81,17,74,71,141,331
bjeline01,Nemanja Bjelica,POWER FORWARD,32,SACRAMENTO KINGS,26,1,439,69,150,17,58,32,42,24,76,49,8,2,28,48,187
bjeline01,Nemanja Bjelica,POWER FORWARD,32,MIAMI HEAT,11,2,156,20,46,10,27,5,9,5,22,20,7,3,5,20,55
bledser01,Eric Bledsoe,SHOOTING GUARD,31,NEW ORLEANS PELICANS,71,70,2111,307,730,121,355,134,195,29,215,268,55,24,114,112,869
blevike01,Keljin Blevins,SMALL FORWARD,25,PORTLAND TRAIL BLAZERS,17,0,75,5,20,2,8,0,0,3,7,4,2,0,5,8,12
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,28,ATLANTA HAWKS,44,27,1305,267,565,146,333,40,44,20,140,147,49,13,54,99,720
bogdabo02,Bojan Bogdanović,SMALL FORWARD,31,UTAH JAZZ,72,72,2216,406,925,180,461,233,265,40,241,136,45,4,128,115,1225
bolbo01,Bol Bol,POWER FORWARD,21,DENVER NUGGETS,32,2,160,25,58,9,24,10,15,0,24,7,3,10,13,14,69
boldema01,Marques Bolden,CENTER,22,CLEVELAND CAVALIERS,6,0,29,1,3,0,0,5,8,3,3,0,2,2,2,0,7
bonejo01,Jordan Bone,POINT GUARD,23,ORLANDO MAGIC,14,0,196,23,54,10,32,0,0,4,20,18,2,0,3,11,56
