,Player,WS,WS/48
0,Precious Achiuwa,3.4,.102
1,Precious Achiuwa,0.4,.048
2,Precious Achiuwa,3.0,.122
3,Bam Adebayo,7.2,.144
4,Ochai Agbaji,0.1,.002
5,Ochai Agbaji,0.4,.019
6,Ochai Agbaji,-0.3,-0.024
7,Santi Aldama,2.4,.070
8,Nickeil Alexander-Walker,4.3,.107
9,Grayson Allen,6.9,.132
10,Jarrett Allen,10.7,.210
11,Timmy Allen,-0.1,-0.041
12,Jose Alvarado,2.1,.097
13,Kyle Anderson,4.5,.121
14,Giannis Antetokounmpo,13.2,.246
15,Thanasis Antetokounmpo,0.0,-0.010
16,Cole Anthony,3.6,.096
17,OG Anunoby,2.6,.073
18,OG Anunoby,1.0,.052
19,OG Anunoby,1.6,.097
20,Ryan Arcidiacono,-0.1,-0.089
21,Deni Avdija,3.2,.068
22,Deandre Ayton,3.9,.106
23,Udoka Azubuike,0.2,.100
24,Ibou Badji,0.2,.046
25,Marvin Bagley III,2.7,.122
26,Marvin Bagley III,1.1,.112
27,Marvin Bagley III,1.6,.130
28,Player,WS,WS/48
29,Amari Bailey,-0.1,-0.044
30,Patrick Baldwin Jr.,0.2,.019
31,LaMelo Ball,1.1,.074
32,Mo Bamba,2.0,.128
33,Paolo Banchero,5.3,.090
34,Desmond Bane,3.1,.102
35,Dalano Banton,0.5,.024
36,Dalano Banton,0.2,.063
37,Dalano Banton,0.3,.016
38,Dominick Barlow,1.1,.126
39,Harrison Barnes,4.7,.094
40,Scottie Barnes,4.3,.098
41,RJ Barrett,2.9,.075
42,RJ Barrett,1.1,.070
43,RJ Barrett,1.7,.078
44,Charles Bassey,0.7,.157
45,Emoni Bates,-0.3,-0.092
46,Keita Bates-Diop,1.3,.091
47,Keita Bates-Diop,1.1,.089
48,Keita Bates-Diop,0.2,.112
49,Nicolas Batum,3.3,.103
50,Nicolas Batum,0.1,.091
51,Nicolas Batum,3.2,.104
52,Darius Bazley,0.3,.084
53,Darius Bazley,0.0,-0.142
54,Darius Bazley,0.3,.100
55,Bradley Beal,3.9,.107
56,Malik Beasley,3.5,.073
57,MarJon Beauchamp,0.7,.056
58,Jules Bernard,0.1,.026
59,Player,WS,WS/48
60,Dāvis Bertāns,0.9,.061
61,Dāvis Bertāns,0.4,.229
62,Dāvis Bertāns,0.4,.034
63,Patrick Beverley,2.7,.090
64,Patrick Beverley,1.7,.087
65,Patrick Beverley,1.1,.095
66,Saddiq Bey,3.5,.081
67,Goga Bitadze,3.7,.186
68,Onuralp Bitim,-0.1,-0.027
69,Bismack Biyombo,1.1,.066
70,Bismack Biyombo,1.0,.066
71,Bismack Biyombo,0.1,.066
72,Anthony Black,1.6,.067
73,Leaky Black,0.5,.084
74,Buddy Boeheim,0.1,.047
75,Bogdan Bogdanović,3.9,.079
76,Bojan Bogdanović,1.1,.034
77,Bojan Bogdanović,0.8,.042
